product_key,product_id,product_number,product_name,category_id,category,subcategory,cost,product_line,supplier_key
1,210,FR-R92B-58,HL Road Frame - Black- 58,CO_RF,Components,Road Frames,0,Road,101
2,211,FR-R92R-58,HL Road Frame - Red- 58,CO_RF,Components,Road Frames,0,Road,102
3,348,BK-M82B-38,Mountain-100 Black- 38,BI_MB,Bikes,Mountain Bikes,1898,Mountain,103
4,349,BK-M82B-42,Mountain-100 Black- 42,BI_MB,Bikes,Mountain Bikes,1898,Mountain,104
5,350,BK-M82B-44,Mountain-100 Black- 44,BI_MB,Bikes,Mountain Bikes,1898,Mountain,105
6,351,BK-M82B-48,Mountain-100 Black- 48,BI_MB,Bikes,Mountain Bikes,1898,Mountain,106
7,344,BK-M82S-38,Mountain-100 Silver- 38,BI_MB,Bikes,Mountain Bikes,1912,Mountain,107
8,345,BK-M82S-42,Mountain-100 Silver- 42,BI_MB,Bikes,Mountain Bikes,1912,Mountain,108
9,346,BK-M82S-44,Mountain-100 Silver- 44,BI_MB,Bikes,Mountain Bikes,1912,Mountain,109
10,347,BK-M82S-48,Mountain-100 Silver- 48,BI_MB,Bikes,Mountain Bikes,1912,Mountain,110
11,317,BK-R68R-44,Road-450 Red- 44,BI_RB,Bikes,Road Bikes,885,Road,111
12,318,BK-R68R-48,Road-450 Red- 48,BI_RB,Bikes,Road Bikes,885,Road,112
13,319,BK-R68R-52,Road-450 Red- 52,BI_RB,Bikes,Road Bikes,885,Road,113
14,315,BK-R68R-58,Road-450 Red- 58,BI_RB,Bikes,Road Bikes,885,Road,114
15,316,BK-R68R-60,Road-450 Red- 60,BI_RB,Bikes,Road Bikes,885,Road,115
16,311,BK-R93R-44,Road-150 Red- 44,BI_RB,Bikes,Road Bikes,2171,Road,116
17,312,BK-R93R-48,Road-150 Red- 48,BI_RB,Bikes,Road Bikes,2171,Road,117
18,313,BK-R93R-52,Road-150 Red- 52,BI_RB,Bikes,Road Bikes,2171,Road,118
19,314,BK-R93R-56,Road-150 Red- 56,BI_RB,Bikes,Road Bikes,2171,Road,119
20,310,BK-R93R-62,Road-150 Red- 62,BI_RB,Bikes,Road Bikes,2171,Road,120
21,299,FR-M94B-44,HL Mountain Frame - Black- 44,CO_MF,Components,Mountain Frames,699,Mountain,101
22,300,FR-M94B-48,HL Mountain Frame - Black- 48,CO_MF,Components,Mountain Frames,699,Mountain,102
23,291,FR-M94S-44,HL Mountain Frame - Silver- 44,CO_MF,Components,Mountain Frames,707,Mountain,103
24,292,FR-M94S-52,HL Mountain Frame - Silver- 48,CO_MF,Components,Mountain Frames,707,Mountain,104
25,274,FR-R72R-44,ML Road Frame - Red- 44,CO_RF,Components,Road Frames,352,Road,105
26,275,FR-R72R-48,ML Road Frame - Red- 48,CO_RF,Components,Road Frames,352,Road,106
27,276,FR-R72R-52,ML Road Frame - Red- 52,CO_RF,Components,Road Frames,352,Road,107
28,277,FR-R72R-58,ML Road Frame - Red- 58,CO_RF,Components,Road Frames,352,Road,108
29,278,FR-R72R-60,ML Road Frame - Red- 60,CO_RF,Components,Road Frames,352,Road,109
30,219,SO-B909-L,Mountain Bike Socks- L,CL_SO,Clothing,Socks,3,Mountain,110
31,218,SO-B909-M,Mountain Bike Socks- M,CL_SO,Clothing,Socks,3,Mountain,111
32,364,BK-M47B-38,Mountain-300 Black- 38,BI_MB,Bikes,Mountain Bikes,598,Mountain,112
33,365,BK-M47B-40,Mountain-300 Black- 40,BI_MB,Bikes,Mountain Bikes,598,Mountain,113
34,366,BK-M47B-44,Mountain-300 Black- 44,BI_MB,Bikes,Mountain Bikes,598,Mountain,114
35,367,BK-M47B-48,Mountain-300 Black- 48,BI_MB,Bikes,Mountain Bikes,598,Mountain,115
36,339,BK-R50B-44,Road-650 Black- 44,BI_RB,Bikes,Road Bikes,487,Road,116
37,341,BK-R50B-48,Road-650 Black- 48,BI_RB,Bikes,Road Bikes,487,Road,117
38,343,BK-R50B-52,Road-650 Black- 52,BI_RB,Bikes,Road Bikes,487,Road,118
39,333,BK-R50B-58,Road-650 Black- 58,BI_RB,Bikes,Road Bikes,487,Road,119
40,335,BK-R50B-60,Road-650 Black- 60,BI_RB,Bikes,Road Bikes,487,Road,120
41,337,BK-R50B-62,Road-650 Black- 62,BI_RB,Bikes,Road Bikes,487,Road,101
42,327,BK-R50R-44,Road-650 Red- 44,BI_RB,Bikes,Road Bikes,487,Road,102
43,329,BK-R50R-48,Road-650 Red- 48,BI_RB,Bikes,Road Bikes,487,Road,103
44,331,BK-R50R-52,Road-650 Red- 52,BI_RB,Bikes,Road Bikes,487,Road,104
45,321,BK-R50R-58,Road-650 Red- 58,BI_RB,Bikes,Road Bikes,487,Road,105
46,323,BK-R50R-60,Road-650 Red- 60,BI_RB,Bikes,Road Bikes,487,Road,106
47,325,BK-R50R-62,Road-650 Red- 62,BI_RB,Bikes,Road Bikes,487,Road,107
48,368,BK-R89R-44,Road-250 Red- 44,BI_RB,Bikes,Road Bikes,1519,Road,108
49,369,BK-R89R-48,Road-250 Red- 48,BI_RB,Bikes,Road Bikes,1519,Road,109
50,370,BK-R89R-52,Road-250 Red- 52,BI_RB,Bikes,Road Bikes,1519,Road,110
51,391,FK-1639,LL Fork,CO_FO,Components,Forks,66,,111
52,392,FK-5136,ML Fork,CO_FO,Components,Forks,78,,112
53,393,FK-9939,HL Fork,CO_FO,Components,Forks,102,,113
54,409,FR-M63B-38,ML Mountain Frame - Black- 38,CO_MF,Components,Mountain Frames,186,Mountain,114
55,426,FR-M63B-40,ML Mountain Frame - Black- 40,CO_MF,Components,Mountain Frames,186,Mountain,115
56,427,FR-M63B-44,ML Mountain Frame - Black- 44,CO_MF,Components,Mountain Frames,186,Mountain,116
57,428,FR-M63B-48,ML Mountain Frame - Black- 48,CO_MF,Components,Mountain Frames,186,Mountain,117
58,263,FR-R38R-44,LL Road Frame - Red- 44,CO_RF,Components,Road Frames,187,Road,118
59,265,FR-R38R-48,LL Road Frame - Red- 48,CO_RF,Components,Road Frames,187,Road,119
60,267,FR-R38R-52,LL Road Frame - Red- 52,CO_RF,Components,Road Frames,187,Road,120
61,269,FR-R38R-58,LL Road Frame - Red- 58,CO_RF,Components,Road Frames,187,Road,101
62,271,FR-R38R-60,LL Road Frame - Red- 60,CO_RF,Components,Road Frames,187,Road,102
63,273,FR-R38R-62,LL Road Frame - Red- 62,CO_RF,Components,Road Frames,187,Road,103
64,410,FW-M423,LL Mountain Front Wheel,CO_WH,Components,Wheels,27,Mountain,104
65,411,FW-M762,ML Mountain Front Wheel,CO_WH,Components,Wheels,93,Mountain,105
66,412,FW-M928,HL Mountain Front Wheel,CO_WH,Components,Wheels,133,Mountain,106
67,413,FW-R623,LL Road Front Wheel,CO_WH,Components,Wheels,38,Road,107
68,414,FW-R762,ML Road Front Wheel,CO_WH,Components,Wheels,110,Road,108
69,415,FW-R820,HL Road Front Wheel,CO_WH,Components,Wheels,147,Road,109
70,416,FW-T905,Touring Front Wheel,CO_WH,Components,Wheels,97,Touring,110
71,470,GL-F110-L,Full-Finger Gloves- L,CL_GL,Clothing,Gloves,16,Mountain,111
72,469,GL-F110-M,Full-Finger Gloves- M,CL_GL,Clothing,Gloves,16,Mountain,112
73,468,GL-F110-S,Full-Finger Gloves- S,CL_GL,Clothing,Gloves,16,Mountain,113
74,394,HS-0296,LL Headset,CO_HS,Components,Headsets,15,,114
75,395,HS-2451,ML Headset,CO_HS,Components,Headsets,45,,115
76,396,HS-3479,HL Headset,CO_HS,Components,Headsets,55,,116
77,447,LO-C100,Cable Lock,AC_LO,Accessories,Locks,10,Other Sales,117
78,451,LT-H902,Headlights - Dual-Beam,AC_LI,Accessories,Lights,14,Road,118
79,452,LT-H903,Headlights - Weatherproof,AC_LI,Accessories,Lights,19,Road,119
80,450,LT-T990,Taillights - Battery-Powered,AC_LI,Accessories,Lights,6,Road,120
81,446,PA-T100,Touring-Panniers- Large,AC_PA,Accessories,Panniers,52,Touring,101
82,448,PU-0452,Minipump,AC_PU,Accessories,Pumps,8,Other Sales,102
83,449,PU-M044,Mountain Pump,AC_PU,Accessories,Pumps,10,Mountain,103
84,419,RW-M423,LL Mountain Rear Wheel,CO_WH,Components,Wheels,39,Mountain,104
85,420,RW-M762,ML Mountain Rear Wheel,CO_WH,Components,Wheels,105,Mountain,105
86,421,RW-M928,HL Mountain Rear Wheel,CO_WH,Components,Wheels,145,Mountain,106
87,422,RW-R623,LL Road Rear Wheel,CO_WH,Components,Wheels,50,Road,107
88,423,RW-R762,ML Road Rear Wheel,CO_WH,Components,Wheels,122,Road,108
89,424,RW-R820,HL Road Rear Wheel,CO_WH,Components,Wheels,159,Road,109
90,425,RW-T905,Touring Rear Wheel,CO_WH,Components,Wheels,109,Touring,110
91,461,SB-M891-L,Men's Bib-Shorts- L,CL_BS,Clothing,Bib-Shorts,37,Other Sales,111
92,460,SB-M891-M,Men's Bib-Shorts- M,CL_BS,Clothing,Bib-Shorts,37,Other Sales,112
93,459,SB-M891-S,Men's Bib-Shorts- S,CL_BS,Clothing,Bib-Shorts,37,Other Sales,113
94,454,SH-M897-L,Men's Sports Shorts- L,CL_SH,Clothing,Shorts,25,Other Sales,114
95,453,SH-M897-M,Men's Sports Shorts- M,CL_SH,Clothing,Shorts,25,Other Sales,115
