supplier_key,supplier_name,location,rating
101,Apex Innovations,UK,4
102,GlobalLink Logistics,Brazil,3
103,Prime Source Solutions,Japan,5
104,Elite Manufacturing Co.,Australia,2
105,Techtronics Supply,USA,1
106,Pure Harvest Foods,Italy,4
107,Quantum Components,Canada,4
108,Veridian Resources,France,1
109,Streamline Distribution,Australia,4
110,Nexus Global Partners,Japan,1
111,OmniTech Systems,Italy,2
112,Sterling Supplies Ltd.,Japan,5
113,Horizon Materials,USA,5
114,Visionary Products Inc.,Spain,1
115,Dynamic Logistics Group,Mexico,3
116,Crestwood Manufacturing,Italy,3
117,Evergreen Enterprises,India,4
118,Fusion Fabricators,Germany,3
119,Pinnacle Procurement,China,4
120,Radiant Raw Materials,USA,3
